name,x_handle,points,tier,telegram
Arinze,@arinze_ofweb3,8,Ambassador,@arinze_ofweb3
Shamsu Musa ,@Shamsu0180,9,Ambassador,@Shamsu0180
James,@James17i ,8,Ambassador,@James17i 
Khalifa,@KherlifaSarki ,10,Ambassador,@KherlifaSarki 
Flowgod ,@Flowgod_ici,10,Ambassador,@Flowgod_ici
Shamsu Musa ,@Shamsu0180,10,Ambassador,@Shamsu0180
Uthman Dabae,@UsmanDabai,10,Ambassador,@UsmanDabai
Mk azeez ,@mk_azeez_1,10,Ambassador,@mk_azeez_1
Mamba,@MambaWeb3 ,10,Ambassador,@MambaWeb3 
Superdiwa ,@superdiwa001,8,Ambassador,@superdiwa001
ZULU,@PHANTOM4_5,8,Ambassador,@PHANTOM4_5
Moriarty,@flamael,10,Ambassador,@flamael
Degen Morty,@d_morty,9,Ambassador,@d_morty
Sahmourah Orochi ,@Ehmitopaz ,8,Ambassador,@Ehmitopaz 
Lucinda Morningstar ,Lucindamorningg,8,Ambassador,Lucindamorningg
Benn ,@primeblue999,10,Ambassador,@primeblue999
Technedict ,Technedict,9,Ambassador,Technedict
Fatima ,@Ox_Fatimaa ,8,Ambassador,@Ox_Fatimaa 
Princess Teey,@Princess_Teey,9,Ambassador,@Princess_Teey
Crabycrown,@crabbyyyyy,9,Ambassador,@crabbyyyyy
Hassan Abdullahi ,@hassan_yks ,8,Ambassador,@hassan_yks 
Haywhy ,@haywhy698,25,Ambassador,@haywhy698
Joshua ,eliteJoshua,10,Ambassador,eliteJoshua
PlanB ,@planBxii,8,Ambassador,@planBxii
Yusup_a_b,@Yusup_a_b,8,Ambassador,@Yusup_a_b
MrsCafe,mrscafe1,8,Ambassador,mrscafe1
Sophie,@Safiyya02,10,Ambassador,@Safiyya02
Salmasty01 ,@salmasty01,9,Ambassador,@salmasty01
Logistics,@Rebezin,8,Ambassador,@Rebezin
Abdul AG ,@Its_Abdul_Ag ,8,Ambassador,@Its_Abdul_Ag 
Ahmad Muhammad ,@sgandumsu,9,Ambassador,@sgandumsu
HenryCryptonite ,@HenryCryptonite ,10,Ambassador,@HenryCryptonite 
sultern,@sulternweb3,8,Ambassador,@sulternweb3
OD Blvck ,OD Blvck ,9,Ambassador,OD Blvck 
Slayfi ,Slayfi_HQ,8,Ambassador,Slayfi_HQ
wilfredjunior,@WilfredDrogba,8,Ambassador,@WilfredDrogba
Richie ,Defi_Richiee,25,Ambassador,Defi_Richiee
Bytes,cryptobytesadmin,25,Ambassador,cryptobytesadmin
eMNAAS ,@Oxfiredropper,8,Ambassador,@Oxfiredropper
Abdy,@ix_cryptobeast,8,Ambassador,@ix_cryptobeast
Sirlaw,@Lawbassey,9,Ambassador,@Lawbassey
Kingkozz ,@King_kozz1,10,Ambassador,@King_kozz1
Suzy,@Sus_dara,8,Ambassador,@Sus_dara
Shapeshifter ,@kajeesz,8,Ambassador,@kajeesz
Miriyamah ,@miriyamah,8,Ambassador,@miriyamah
Favorite ,@Danielle_Smart ,10,Ambassador,@Danielle_Smart 
MeeCrypt,MeeCrypt,9,Ambassador,MeeCrypt
Abbas Abubakar ,@abbas09999,9,Ambassador,@abbas09999
Goshoprint ,@Goshoprint,10,Ambassador,@Goshoprint
Abdul ,Web3_prince3 ,10,Ambassador,Web3_prince3 
Khadijat Isah ,@oum_noor2001,8,Ambassador,@oum_noor2001
Rabiu060,@Itz_rabiu,8,Ambassador,@Itz_rabiu
Ahmadeycrypto,@Ahmadeycrypto,9,Ambassador,@Ahmadeycrypto
Yussboy,@Omvext,8,Ambassador,@Omvext
Amirjahun,Ahmad Abdulkadir ,10,Ambassador,Ahmad Abdulkadir 
Hvleepher,Khaliferh,8,Ambassador,Khaliferh
OxAlamin,@Tsiga_alamin,8,Ambassador,@Tsiga_alamin
Suleimandahiru ,@suleimandahiru,9,Ambassador,@suleimandahiru
Logistics,@rebezin,9,Ambassador,@rebezin
UniqueOpphecial,@UniqueOpphecial,8,Ambassador,@UniqueOpphecial
Yusi,@yusi0x,10,Ambassador,@yusi0x
The Datalyst 🧐,@thedatalyst2012,9,Ambassador,@thedatalyst2012
Ibrahim ,@Abrahamsg6469,9,Ambassador,@Abrahamsg6469
Maamah,@tmamaah,8,Ambassador,@tmamaah
Junior crypto ,@Youzerseeph,9,Ambassador,@Youzerseeph
Mr_Wagmi,@Myname_is_Umar,25,Ambassador,@Myname_is_Umar
Elsuraj ,elsuraaj,10,Ambassador,elsuraaj
"SALEEM,FX (sent)",@juniorSpeedouFX,8,Ambassador,@juniorSpeedouFX
MUHAMMAD MUHAMMAD DANMALAN,@Dmalam012,10,Ambassador,@Dmalam012
M-KOKO ,@munirkoko,10,Ambassador,@munirkoko
Ibrahim ,@IbrahimTelaBawa ,25,Ambassador,@IbrahimTelaBawa 
Muktar Abdullahi Sulaiman ,Muktar1880,9,Ambassador,Muktar1880
Sagir_Tech,@Sagir_Tech,25,Ambassador,@Sagir_Tech
ibrahimshehu,Naibawa88,25,Ambassador,Naibawa88
Ya'u sha'aibu Yanmaulu ,Sardaunajr222,8,Ambassador,Sardaunajr222
Favemikey ,Favemikey ,25,Ambassador,Favemikey 
Musteey ,Musteey00,9,Ambassador,Musteey00
Isahdansule ,Isahdansule ,9,Ambassador,Isahdansule 
Musa_DeFi,@Musa_DeFii,10,Ambassador,@Musa_DeFii
Waqas Tommy,@realwaqas,8,Ambassador,@realwaqas
Ibrahim Umar ,Ibb3532,9,Ambassador,Ibb3532
Bukar,Bukar5971,10,Ambassador,Bukar5971
SHAMWILU MUHAMMAD DAHIRU ,Shamwilu Muhammad Dahiru ,10,Ambassador,Shamwilu Muhammad Dahiru 
Aykano11 ,Aykano11,25,Ambassador,Aykano11
Musty crypto ,Mustycrypto58 ,9,Ambassador,Mustycrypto58 
Chezetere,@cheezzee,10,Ambassador,@cheezzee
Modi_nex,Modi_nex ,8,Ambassador,Modi_nex 
IRIT,Ibrid_rapid_18,9,Ambassador,Ibrid_rapid_18
IdrisCrypto ,Idris salisu ,8,Ambassador,Idris salisu 
Assudaniee ,@assudaniee114,9,Ambassador,@assudaniee114
Ajifogi,@ajifogi,9,Ambassador,@ajifogi
HARUNA ISHAQ ,H_done,8,Ambassador,H_done
Rukypinkie  cert done,@rukypinkie,25,Ambassador,@rukypinkie
Sani s a ,@sanishuuaib,8,Ambassador,@sanishuuaib
Doguwa,@Doguwa_002,10,Ambassador,@Doguwa_002
Zahrah,@Rouhiey ,10,Ambassador,@Rouhiey 
BabuwaGama1,BabuwaGama,8,Ambassador,BabuwaGama
Bena,Rufaibena,9,Ambassador,Rufaibena
@boygemini_x,@boygemini_x,9,Ambassador,@boygemini_x
AAA,@Aa_uu_yyy,9,Ambassador,@Aa_uu_yyy
Danmasani,@Babakarami90,10,Ambassador,@Babakarami90
Muhammadu Garba musa ,Muhammadu Garba musa ,25,Ambassador,Muhammadu Garba musa 
Wizbakri last cert issued 8/24,Wizbakri,8,Ambassador,Wizbakri
Umar Jibrin,@Ajalaji_clone,10,Ambassador,@Ajalaji_clone
Autvblvcx,@Autvblvcx1,8,Ambassador,@Autvblvcx1
chiefofjudge ,@farouqcj,10,Ambassador,@farouqcj
Edidiong done cert issued 8.24,@prettiestbeck,10,Ambassador,@prettiestbeck
Dan ustaz ,@danustazgraphics,9,Ambassador,@danustazgraphics
Amiiraa,Amarachukwu,8,Ambassador,Amarachukwu
Husslart ,Gimbi01 ,9,Ambassador,Gimbi01 
Ahmadmarusa ,@Ahmadmarusa,8,Ambassador,@Ahmadmarusa
King Useeph ,Useeph001,10,Ambassador,Useeph001
Algaecrypto,@Mukhtaralameen30,8,Ambassador,@Mukhtaralameen30
King musty ,Abasusary7273,9,Ambassador,Abasusary7273
Hermit chase,@sidibagg,10,Ambassador,@sidibagg
Oilman,@Oilmanweb3 ,9,Ambassador,@Oilmanweb3 
Mav,@mavtechh,8,Ambassador,@mavtechh
GREIGHT ,@greight004,9,Ambassador,@greight004
Ibrahim lawan ,@ibrahimdcs ,10,Ambassador,@ibrahimdcs 
Bsola,Bsola0 ,9,Ambassador,Bsola0 
Retardio ,onlyretardio ,9,Ambassador,onlyretardio 
Machalaofweb3 ,Machalaofweb3 ,10,Ambassador,Machalaofweb3 
IbnuWakili done sent cert 8.25,@ibnuWakili,9,Ambassador,@ibnuWakili
Famouz,@Famouzdefi,10,Ambassador,@Famouzdefi
Iledan done cert 8.24 not sent yet,Dan1_4,8,Ambassador,Dan1_4
Aminu,@ameenuh11,8,Ambassador,@ameenuh11
Yauletest ,Yauletest ,10,Ambassador,Yauletest 
Arab E ,@Arrab_E,25,Ambassador,@Arrab_E
AM. BETI,AMBETI,10,Ambassador,AMBETI
Sly ,slyd2 ,9,Ambassador,slyd2 
Davethewrld ,@OG0XETH,9,Ambassador,@OG0XETH
Blossery ,Blossery,10,Ambassador,Blossery
Cvptain,A_Cvptain,10,Ambassador,A_Cvptain
Danfillo,@Danfillo,9,Ambassador,@Danfillo
Ismin11 ,@Ihibrahmi,10,Ambassador,@Ihibrahmi
Phantom ,PhantomRF1 ,10,Ambassador,PhantomRF1 
Sirhal,@Sirhal00,8,Ambassador,@Sirhal00
Daniel ,@Danielokafor123 ,9,Ambassador,@Danielokafor123 
Phantom ,PhantomRF1 ,8,Ambassador,PhantomRF1 
Niole ,@Niole_on_coins,9,Ambassador,@Niole_on_coins
Wavvy,@wavethegreatguy,8,Ambassador,@wavethegreatguy
Mike ,@Ohilebo00,8,Ambassador,@Ohilebo00
Lawson,@lawalola04,8,Ambassador,@lawalola04
Bigcoin ,bigcoin420 no,8,Ambassador,bigcoin420 no
Zaksweb3,@zaksweb3,8,Ambassador,@zaksweb3
AAA,@Aa_uu_yyy,9,Ambassador,@Aa_uu_yyy
Moren ,@chimdiiii,9,Ambassador,@chimdiiii
Guru,Personal_oma001,10,Ambassador,Personal_oma001
Khalifamaiyakii  done issued 8.24,@Khalifamaiyakii ,10,Ambassador,@Khalifamaiyakii 
Observer ,@Rukmiin,10,Ambassador,@Rukmiin
Moren, @chimdiiii,8,Ambassador, @chimdiiii
Slime (sent),@Slimeoncrypt,10,Ambassador,@Slimeoncrypt
Buggy_10 (sent),@Buggy_56,8,Ambassador,@Buggy_56
Web3KingOla,@Web3KingOla,25,Ambassador,@Web3KingOla
Gabby,@Gabby_web3,10,Ambassador,@Gabby_web3
0xdave (sent),@alabidavickie,8,Ambassador,@alabidavickie
Shine Bright ,Shine_Bright0001,8,Ambassador,Shine_Bright0001
G_tech,@davidoluwademilade,9,Ambassador,@davidoluwademilade
Kryptobraniac ,kryptobraniac,8,Ambassador,kryptobraniac
PrincessUmmee,@Princessummee,8,Ambassador,@Princessummee
Fauzy,Phauxeyy,8,Ambassador,Phauxeyy
Abdulrazak ,@Am_legendabdul,9,Ambassador,@Am_legendabdul
Shaga,@Shaga01,8,Ambassador,@Shaga01
HalifaMTFA,@HalifaMTFA CRYPTO,25,Ambassador,@HalifaMTFA CRYPTO
Kennycrypt,Kennycrypt_12,8,Ambassador,Kennycrypt_12
Deenarh ,Deeenarh ,10,Ambassador,Deeenarh 
Big Jonn ,@thatbigjohn,10,Ambassador,@thatbigjohn
Bigauds ,@Bigauds,10,Ambassador,@Bigauds
Dern Uxterx ,@DernUxterx,9,Ambassador,@DernUxterx
Realtha,@Ifeomari,10,Ambassador,@Ifeomari
Chafee,chafee_fashion_house,9,Ambassador,chafee_fashion_house
Ebony pearl,@Ebonype,9,Ambassador,@Ebonype
Benjie,Brightbenjie,10,Ambassador,Brightbenjie
TayoMetaX,@temitayo_david,9,Ambassador,@temitayo_david
Serbo,@Serbo111,9,Ambassador,@Serbo111
Chinny,Okolochinny,8,Ambassador,Okolochinny
Satoshiequeen ,satoshiequeen,8,Ambassador,satoshiequeen
Moesha,@Moesha4E,8,Ambassador,@Moesha4E
Fazzy58 ,@fazzy58,9,Ambassador,@fazzy58
Harry styles ,@harrystyles09k,8,Ambassador,@harrystyles09k
habeebqwerty ,@habeeb12,9,Ambassador,@habeeb12
Theweb3diyva ,web3diyva,8,Ambassador,web3diyva
modi_nex,modi_nex,25,Ambassador,modi_nex
Mustycrypto58 ,mustycrypto58 ,8,Ambassador,mustycrypto58 
Simple,Ukara Evans ,8,Ambassador,Ukara Evans 
Slime,@Slimeoncrypt,10,Ambassador,@Slimeoncrypt
Buggy,@Buggy_56,10,Ambassador,@Buggy_56
Phantom ,PhantomRF1 ,10,Ambassador,PhantomRF1 
Starlette ,@StarletFrank,9,Ambassador,@StarletFrank
Simple,Evansukara,9,Ambassador,Evansukara
Predoh,@The_Web3_Kid,9,Ambassador,@The_Web3_Kid
C.E.I,@chimankpam11,10,Ambassador,@chimankpam11
Bundle0x,@Bundle0x,9,Ambassador,@Bundle0x
Lio,@Lio101 ,9,Ambassador,@Lio101 
Ummee daddy ,@Princessummee,10,Ambassador,@Princessummee
Algae crypto,Mukhtaralameen30,9,Ambassador,Mukhtaralameen30
Alpha web 3 ,alfarooq06,10,Ambassador,alfarooq06
Joylene,Joy_joylene,10,Ambassador,Joy_joylene
Manasseh,ManassehB7,8,Ambassador,ManassehB7
Tweezer king ,Tweezer_king,8,Ambassador,Tweezer_king
Solana_Btc,SOLANA_BTC3,10,Ambassador,SOLANA_BTC3
UsamaCryptoPro ,Binladan2020 ,9,Ambassador,Binladan2020 
SHOLEH,@SHOLEH0X,9,Ambassador,@SHOLEH0X
Ali,Am using it,9,Ambassador,Am using it
Jo Potatoe ,@JoPotatoe,9,Ambassador,@JoPotatoe
Neithos,@neithos,25,Ambassador,@neithos
@SADIQ-BAZZ,@SADIQBAZZ,8,Ambassador,@SADIQBAZZ
hojaydice ,hojaydice ,9,Ambassador,hojaydice 
Vibes,@ibro_garba,8,Ambassador,@ibro_garba
Manuel,@Okikiola_65,10,Ambassador,@Okikiola_65
Muhammad khaly,@muhd_khaly,8,Ambassador,@muhd_khaly
