name,x_handle,points,posts,engagements,referrals,tier,telegram
Ade,Ade_WEB3,9,100,45,14,Ambassador,Ade_WEB3
Yahaya Sa'ad,@Yahaya_web3,8,38,15,39,Ambassador,@Yahaya_web3
OffixialLecovic ,OffixialLecovic ,8,4,44,100,Ambassador,OffixialLecovic 
DefiMohk ,t.me/DefiMohk ,9,24,100,48,Ambassador,t.me/DefiMohk 
Game changer ,@Realmissionjr,9,42,10,45,Ambassador,@Realmissionjr
Humble,Oxhumblewins,10,100,45,3,Ambassador,Oxhumblewins
Fc Barcelona Hausa ,t.me/fcbarcelonahausa,8,16,25,100,Ambassador,t.me/fcbarcelonahausa
Beejay,@johnaot,9,40,41,28,Ambassador,@johnaot
Lalashgusau,t.me/Lalashgusau,8,21,11,5,Ambassador,t.me/Lalashgusau
Mukhtar Usman,@mukhtaruthman6,10,38,100,20,Ambassador,@mukhtaruthman6
T,@hamza_tela,9,49,26,46,Ambassador,@hamza_tela
Patoskyy,@patoskyyyy,8,47,42,34,Ambassador,@patoskyyyy
Alhajimali,@Alhajimali,9,100,3,38,Ambassador,@Alhajimali
Bachiri ,Bachiri42,25,19,23,2,Ambassador,Bachiri42
Tela,@hamza_tela,9,26,43,1,Ambassador,@hamza_tela
Arinze,@arinze_ofweb3,10,9,1,45,Ambassador,@arinze_ofweb3
Shamsu Musa ,@Shamsu0180,25,1,28,27,Ambassador,@Shamsu0180
James,@James17i ,9,2,38,42,Ambassador,@James17i 
Khalifa,@KherlifaSarki ,10,31,39,10,Ambassador,@KherlifaSarki 
Flowgod ,@Flowgod_ici,9,38,39,46,Ambassador,@Flowgod_ici
Shamsu Musa ,@Shamsu0180,8,25,19,17,Ambassador,@Shamsu0180
Uthman Dabae,@UsmanDabai,10,7,100,16,Ambassador,@UsmanDabai
Mk azeez ,@mk_azeez_1,8,25,48,22,Ambassador,@mk_azeez_1
Mamba,@MambaWeb3 ,10,14,31,48,Ambassador,@MambaWeb3 
Superdiwa ,@superdiwa001,8,27,19,15,Ambassador,@superdiwa001
ZULU,@PHANTOM4_5,8,41,20,11,Ambassador,@PHANTOM4_5
Moriarty,@flamael,9,46,16,31,Ambassador,@flamael
Degen Morty,@d_morty,9,5,15,34,Ambassador,@d_morty
Sahmourah Orochi ,@Ehmitopaz ,9,100,28,100,Ambassador,@Ehmitopaz 
Lucinda Morningstar ,t.me/Lucindamorningg,9,4,1,13,Ambassador,t.me/Lucindamorningg
Benn ,@primeblue999,9,21,6,7,Ambassador,@primeblue999
Technedict ,Technedict,8,43,26,16,Ambassador,Technedict
Fatima ,@Ox_Fatimaa ,8,49,29,38,Ambassador,@Ox_Fatimaa 
Princess Teey,@Princess_Teey,10,11,47,38,Ambassador,@Princess_Teey
Crabycrown,@crabbyyyyy,8,34,45,29,Ambassador,@crabbyyyyy
Hassan Abdullahi ,@hassan_yks ,8,34,28,25,Ambassador,@hassan_yks 
Haywhy ,@haywhy698,8,6,42,35,Ambassador,@haywhy698
Joshua ,t.me/eliteJoshua,8,100,17,46,Ambassador,t.me/eliteJoshua
PlanB ,@planBxii,9,50,100,12,Ambassador,@planBxii
Yusup_a_b,@Yusup_a_b,8,39,37,5,Ambassador,@Yusup_a_b
MrsCafe,t.me/mrscafe1,10,39,39,37,Ambassador,t.me/mrscafe1
Sophie,@Safiyya02,8,100,100,30,Ambassador,@Safiyya02
Salmasty01 ,@salmasty01,10,43,16,41,Ambassador,@salmasty01
Logistics,@Rebezin,10,6,24,41,Ambassador,@Rebezin
Abdul AG ,@Its_Abdul_Ag ,8,100,11,30,Ambassador,@Its_Abdul_Ag 
Ahmad Muhammad ,@sgandumsu,25,100,5,26,Ambassador,@sgandumsu
HenryCryptonite ,@HenryCryptonite ,9,32,17,43,Ambassador,@HenryCryptonite 
sultern,@sulternweb3,8,100,24,100,Ambassador,@sulternweb3
OD Blvck ,OD Blvck ,9,100,17,25,Ambassador,OD Blvck 
Slayfi ,t.me/Slayfi_HQ,8,11,100,2,Ambassador,t.me/Slayfi_HQ
wilfredjunior,@WilfredDrogba,8,41,36,13,Ambassador,@WilfredDrogba
Richie ,Defi_Richiee,9,11,100,36,Ambassador,Defi_Richiee
Bytes,cryptobytesadmin,8,46,31,35,Ambassador,cryptobytesadmin
eMNAAS ,@Oxfiredropper,8,24,4,15,Ambassador,@Oxfiredropper
Abdy,@ix_cryptobeast,9,33,6,5,Ambassador,@ix_cryptobeast
Sirlaw,@Lawbassey,25,32,9,31,Ambassador,@Lawbassey
Kingkozz ,@King_kozz1,8,100,1,39,Ambassador,@King_kozz1
Suzy,@Sus_dara,10,40,31,24,Ambassador,@Sus_dara
Shapeshifter ,@kajeesz,8,4,29,6,Ambassador,@kajeesz
Miriyamah ,@miriyamah,9,100,29,100,Ambassador,@miriyamah
Favorite ,@Danielle_Smart ,10,45,100,1,Ambassador,@Danielle_Smart 
MeeCrypt,https://t.me/MeeCrypt,8,100,8,18,Ambassador,https://t.me/MeeCrypt
Abbas Abubakar ,@abbas09999,8,5,26,2,Ambassador,@abbas09999
Goshoprint ,@Goshoprint,10,9,100,45,Ambassador,@Goshoprint
Abdul ,Web3_prince3 ,10,2,49,38,Ambassador,Web3_prince3 
Khadijat Isah ,@oum_noor2001,10,31,100,100,Ambassador,@oum_noor2001
Rabiu060,@Itz_rabiu,9,3,49,20,Ambassador,@Itz_rabiu
Ahmadeycrypto,@Ahmadeycrypto,9,100,45,9,Ambassador,@Ahmadeycrypto
Yussboy,@Omvext,9,37,46,34,Ambassador,@Omvext
Amirjahun,Ahmad Abdulkadir ,9,48,2,33,Ambassador,Ahmad Abdulkadir 
Hvleepher,Khaliferh,9,30,50,36,Ambassador,Khaliferh
OxAlamin,@Tsiga_alamin,25,42,11,46,Ambassador,@Tsiga_alamin
Suleimandahiru ,@suleimandahiru,25,50,17,19,Ambassador,@suleimandahiru
Logistics,@rebezin,8,30,10,32,Ambassador,@rebezin
UniqueOpphecial,@UniqueOpphecial,25,18,15,1,Ambassador,@UniqueOpphecial
Yusi,@yusi0x,8,20,6,6,Ambassador,@yusi0x
The Datalyst 🧐,@thedatalyst2012,8,15,100,36,Ambassador,@thedatalyst2012
Ibrahim ,@Abrahamsg6469,10,39,22,13,Ambassador,@Abrahamsg6469
Maamah,@tmamaah,10,47,4,49,Ambassador,@tmamaah
Junior crypto ,@Youzerseeph,9,30,27,27,Ambassador,@Youzerseeph
Mr_Wagmi,@Myname_is_Umar,9,43,19,26,Ambassador,@Myname_is_Umar
Elsuraj ,t.me/elsuraaj,10,33,48,32,Ambassador,t.me/elsuraaj
"SALEEM,FX (sent)",@juniorSpeedouFX,9,100,33,48,Ambassador,@juniorSpeedouFX
MUHAMMAD MUHAMMAD DANMALAN,@Dmalam012,8,19,15,42,Ambassador,@Dmalam012
M-KOKO ,@munirkoko,25,43,15,27,Ambassador,@munirkoko
Ibrahim ,@IbrahimTelaBawa ,8,21,22,48,Ambassador,@IbrahimTelaBawa 
Muktar Abdullahi Sulaiman ,Muktar1880,8,100,48,27,Ambassador,Muktar1880
Sagir_Tech,@Sagir_Tech,8,11,34,33,Ambassador,@Sagir_Tech
ibrahimshehu,Naibawa88,8,14,40,24,Ambassador,Naibawa88
Ya'u sha'aibu Yanmaulu ,t.me/Sardaunajr222,10,5,23,22,Ambassador,t.me/Sardaunajr222
Favemikey ,Favemikey ,9,36,6,18,Ambassador,Favemikey 
Musteey ,Musteey00,9,5,35,34,Ambassador,Musteey00
Isahdansule ,Isahdansule ,9,6,41,30,Ambassador,Isahdansule 
Musa_DeFi,@Musa_DeFii,9,100,100,37,Ambassador,@Musa_DeFii
Waqas Tommy,@realwaqas,9,18,29,29,Ambassador,@realwaqas
Ibrahim Umar ,Ibb3532,25,21,33,23,Ambassador,Ibb3532
Bukar,Bukar5971,9,48,46,9,Ambassador,Bukar5971
SHAMWILU MUHAMMAD DAHIRU ,Shamwilu Muhammad Dahiru ,9,35,17,15,Ambassador,Shamwilu Muhammad Dahiru 
Aykano11 ,Aykano11,25,31,12,6,Ambassador,Aykano11
Musty crypto ,Mustycrypto58 ,10,48,49,37,Ambassador,Mustycrypto58 
Chezetere,@cheezzee,8,5,32,41,Ambassador,@cheezzee
Modi_nex,Modi_nex ,25,32,49,18,Ambassador,Modi_nex 
IRIT,Ibrid_rapid_18,9,39,21,2,Ambassador,Ibrid_rapid_18
IdrisCrypto ,Idris salisu ,10,48,4,43,Ambassador,Idris salisu 
Assudaniee ,@assudaniee114,8,10,6,10,Ambassador,@assudaniee114
Ajifogi,@ajifogi,8,14,26,100,Ambassador,@ajifogi
HARUNA ISHAQ ,t.me/H_done,8,6,1,32,Ambassador,t.me/H_done
Rukypinkie  cert done,@rukypinkie,8,35,40,35,Ambassador,@rukypinkie
Sani s a ,@sanishuuaib,25,46,6,46,Ambassador,@sanishuuaib
Doguwa,@Doguwa_002,8,21,40,5,Ambassador,@Doguwa_002
Zahrah,@Rouhiey ,9,39,33,23,Ambassador,@Rouhiey 
BabuwaGama1,BabuwaGama,10,39,18,14,Ambassador,BabuwaGama
Bena,Rufaibena,10,8,19,47,Ambassador,Rufaibena
@boygemini_x,@boygemini_x,10,25,23,16,Ambassador,@boygemini_x
AAA,@Aa_uu_yyy,25,100,100,47,Ambassador,@Aa_uu_yyy
Danmasani,@Babakarami90,8,34,23,44,Ambassador,@Babakarami90
Muhammadu Garba musa ,Muhammadu Garba musa ,9,14,31,33,Ambassador,Muhammadu Garba musa 
Wizbakri last cert issued 8/24,Wizbakri,8,17,26,10,Ambassador,Wizbakri
Umar Jibrin,@Ajalaji_clone,8,45,14,38,Ambassador,@Ajalaji_clone
Autvblvcx,@Autvblvcx1,10,45,39,39,Ambassador,@Autvblvcx1
chiefofjudge ,@farouqcj,9,100,29,16,Ambassador,@farouqcj
Edidiong done cert issued 8.24,@prettiestbeck,8,42,100,100,Ambassador,@prettiestbeck
Dan ustaz ,@danustazgraphics,8,44,17,25,Ambassador,@danustazgraphics
Amiiraa,Amarachukwu,8,44,28,10,Ambassador,Amarachukwu
Husslart ,Gimbi01 ,8,8,39,32,Ambassador,Gimbi01 
Ahmadmarusa ,@Ahmadmarusa,8,19,3,45,Ambassador,@Ahmadmarusa
King Useeph ,Useeph001,9,45,30,18,Ambassador,Useeph001
Algaecrypto,@Mukhtaralameen30,9,7,29,48,Ambassador,@Mukhtaralameen30
King musty ,Abasusary7273,8,46,15,100,Ambassador,Abasusary7273
Hermit chase,@sidibagg,8,100,39,17,Ambassador,@sidibagg
Oilman,@Oilmanweb3 ,9,21,100,36,Ambassador,@Oilmanweb3 
Mav,@mavtechh,9,36,13,20,Ambassador,@mavtechh
GREIGHT ,@greight004,10,2,6,32,Ambassador,@greight004
Ibrahim lawan ,@ibrahimdcs ,8,34,2,100,Ambassador,@ibrahimdcs 
Bsola,Bsola0 ,10,28,24,21,Ambassador,Bsola0 
Retardio ,onlyretardio ,9,17,33,100,Ambassador,onlyretardio 
Machalaofweb3 ,Machalaofweb3 ,8,10,21,8,Ambassador,Machalaofweb3 
IbnuWakili done sent cert 8.25,@ibnuWakili,9,18,36,1,Ambassador,@ibnuWakili
Famouz,@Famouzdefi,8,2,23,22,Ambassador,@Famouzdefi
Iledan done cert 8.24 not sent yet,Dan1_4,9,3,21,28,Ambassador,Dan1_4
Aminu,@ameenuh11,9,20,37,16,Ambassador,@ameenuh11
Yauletest ,Yauletest ,8,30,1,11,Ambassador,Yauletest 
Arab E ,@Arrab_E,8,100,100,17,Ambassador,@Arrab_E
AM. BETI,t.me/AMBETI,9,8,43,26,Ambassador,t.me/AMBETI
Sly ,slyd2 ,10,48,6,34,Ambassador,slyd2 
Davethewrld ,@OG0XETH,8,24,3,42,Ambassador,@OG0XETH
Blossery ,t.me Blossery,10,4,4,10,Ambassador,t.me Blossery
Cvptain,A_Cvptain,8,42,10,100,Ambassador,A_Cvptain
Danfillo,@Danfillo,10,7,8,20,Ambassador,@Danfillo
Ismin11 ,@Ihibrahmi,10,40,32,25,Ambassador,@Ihibrahmi
Phantom ,PhantomRF1 ,8,22,36,32,Ambassador,PhantomRF1 
Sirhal,@Sirhal00,10,100,35,34,Ambassador,@Sirhal00
Daniel ,@Danielokafor123 ,10,31,32,50,Ambassador,@Danielokafor123 
Phantom ,PhantomRF1 ,10,47,31,1,Ambassador,PhantomRF1 
Niole ,@Niole_on_coins,8,1,2,48,Ambassador,@Niole_on_coins
Wavvy,@wavethegreatguy,10,49,100,6,Ambassador,@wavethegreatguy
Mike ,@Ohilebo00,9,12,17,10,Ambassador,@Ohilebo00
Lawson,@lawalola04,9,100,22,19,Ambassador,@lawalola04
Bigcoin ,bigcoin420 no,25,29,31,29,Ambassador,bigcoin420 no
Zaksweb3,@zaksweb3,9,29,100,44,Ambassador,@zaksweb3
AAA,@Aa_uu_yyy,9,7,100,18,Ambassador,@Aa_uu_yyy
Moren ,@chimdiiii,10,40,5,100,Ambassador,@chimdiiii
Guru,Personal_oma001,25,100,100,39,Ambassador,Personal_oma001
Khalifamaiyakii  done issued 8.24,@Khalifamaiyakii ,9,22,100,18,Ambassador,@Khalifamaiyakii 
Observer ,@Rukmiin,8,6,39,100,Ambassador,@Rukmiin
Moren, @chimdiiii,8,14,100,36,Ambassador, @chimdiiii
Slime (sent),@Slimeoncrypt,25,23,1,100,Ambassador,@Slimeoncrypt
Buggy_10 (sent),@Buggy_56,8,9,40,100,Ambassador,@Buggy_56
Web3KingOla,@Web3KingOla,8,46,49,45,Ambassador,@Web3KingOla
Gabby,@Gabby_web3,8,100,25,40,Ambassador,@Gabby_web3
0xdave (sent),@alabidavickie,9,33,100,10,Ambassador,@alabidavickie
Shine Bright ,t.me/Shine_Bright0001,25,35,18,33,Ambassador,t.me/Shine_Bright0001
G_tech,@davidoluwademilade,8,16,34,19,Ambassador,@davidoluwademilade
Kryptobraniac ,https://t.me/kryptobraniac,10,3,43,11,Ambassador,https://t.me/kryptobraniac
PrincessUmmee,@Princessummee,9,42,11,50,Ambassador,@Princessummee
Fauzy,Phauxeyy,25,31,29,18,Ambassador,Phauxeyy
Abdulrazak ,@Am_legendabdul,10,100,37,46,Ambassador,@Am_legendabdul
Shaga,@Shaga01,9,40,100,44,Ambassador,@Shaga01
HalifaMTFA,@HalifaMTFA CRYPTO,10,38,17,48,Ambassador,@HalifaMTFA CRYPTO
Kennycrypt,Kennycrypt_12,25,100,19,13,Ambassador,Kennycrypt_12
Deenarh ,Deeenarh ,8,3,13,42,Ambassador,Deeenarh 
Big Jonn ,@thatbigjohn,25,48,22,7,Ambassador,@thatbigjohn
Bigauds ,@Bigauds,8,8,5,31,Ambassador,@Bigauds
Dern Uxterx ,@DernUxterx,25,40,37,49,Ambassador,@DernUxterx
Realtha,@Ifeomari,10,10,1,7,Ambassador,@Ifeomari
Chafee,t.me/chafee_fashion_house,10,42,100,42,Ambassador,t.me/chafee_fashion_house
Ebony pearl,@Ebonype,10,13,40,100,Ambassador,@Ebonype
Benjie,Brightbenjie,9,6,24,39,Ambassador,Brightbenjie
TayoMetaX,@temitayo_david,8,41,17,41,Ambassador,@temitayo_david
Serbo,@Serbo111,10,15,30,22,Ambassador,@Serbo111
Chinny,Okolochinny,25,20,34,24,Ambassador,Okolochinny
Satoshiequeen ,t.me/satoshiequeen,25,44,10,15,Ambassador,t.me/satoshiequeen
Moesha,@Moesha4E,8,2,31,48,Ambassador,@Moesha4E
Fazzy58 ,@fazzy58,10,17,13,26,Ambassador,@fazzy58
Harry styles ,@harrystyles09k,8,24,100,12,Ambassador,@harrystyles09k
habeebqwerty ,@habeeb12,10,45,100,20,Ambassador,@habeeb12
Theweb3diyva ,https://t.me/web3diyva,9,21,31,46,Ambassador,https://t.me/web3diyva
modi_nex,modi_nex,10,31,26,49,Ambassador,modi_nex
Mustycrypto58 ,mustycrypto58 ,9,32,11,21,Ambassador,mustycrypto58 
Simple,Ukara Evans ,8,41,8,38,Ambassador,Ukara Evans 
Slime,@Slimeoncrypt,8,11,28,49,Ambassador,@Slimeoncrypt
Buggy,@Buggy_56,10,14,49,41,Ambassador,@Buggy_56
Phantom ,PhantomRF1 ,10,100,100,50,Ambassador,PhantomRF1 
Starlette ,@StarletFrank,8,46,37,37,Ambassador,@StarletFrank
Simple,t.me/Evansukara,10,23,7,3,Ambassador,t.me/Evansukara
Predoh,@The_Web3_Kid,25,22,43,23,Ambassador,@The_Web3_Kid
C.E.I,@chimankpam11,10,15,48,23,Ambassador,@chimankpam11
Bundle0x,@Bundle0x,9,39,100,100,Ambassador,@Bundle0x
Lio,@Lio101 ,25,3,38,14,Ambassador,@Lio101 
Ummee daddy ,@Princessummee,10,5,100,100,Ambassador,@Princessummee
Algae crypto,Mukhtaralameen30,9,36,34,24,Ambassador,Mukhtaralameen30
Alpha web 3 ,alfarooq06,8,1,46,16,Ambassador,alfarooq06
Joylene,Joy_joylene,8,10,6,13,Ambassador,Joy_joylene
Manasseh,t.me/ManassehB7,8,29,42,100,Ambassador,t.me/ManassehB7
Tweezer king ,https://t.me/Tweezer_king,9,20,48,100,Ambassador,https://t.me/Tweezer_king
Solana_Btc,t.me/SOLANA_BTC3,10,18,3,21,Ambassador,t.me/SOLANA_BTC3
UsamaCryptoPro ,Binladan2020 ,9,25,41,8,Ambassador,Binladan2020 
SHOLEH,@SHOLEH0X,9,37,100,16,Ambassador,@SHOLEH0X
Ali,Am using it,9,12,41,49,Ambassador,Am using it
Jo Potatoe ,@JoPotatoe,8,22,25,21,Ambassador,@JoPotatoe
Neithos,@neithos,8,15,45,38,Ambassador,@neithos
@SADIQ-BAZZ,@SADIQBAZZ,9,4,10,1,Ambassador,@SADIQBAZZ
hojaydice ,hojaydice ,10,100,3,100,Ambassador,hojaydice 
Vibes,@ibro_garba,10,32,44,6,Ambassador,@ibro_garba
Manuel,@Okikiola_65,9,100,25,44,Ambassador,@Okikiola_65
Muhammad khaly,@muhd_khaly,9,34,19,4,Ambassador,@muhd_khaly
